title,link,published,summary,processed_on,sentiment_label,sentiment_score,sentiment_probs
Tata Motors Commercial Vehicles shares debut at 28 premium Should investors stay on board,https://economictimes.indiatimes.com/markets/stocks/news/tata-motors-commercial-vehicles-shares-debut-at-28-premium-should-investors-stay-on-board/articleshow/125264817.cms,"Wed, 12 Nov 2025 09:58:20 +0530","TMCV Share Price: Tata Motors Commercial Vehicles Ltd (TMLCV) debuted with a 28% premium, reflecting investor optimism for India's largest truck and bus maker amid a cyclical upturn. Analysts highlight the demerger's value unlocking and the CV arm's strategic importance to India's growth, supported by improving economic conditions and policy tailwinds.",2025-11-12,Neutral,-4.448097024578601e-05,"[0.9994742274284363, 0.00024067748745437711, 0.0002851584577001631]"
Groww shares list at 14 premium over IPO price,https://economictimes.indiatimes.com/markets/stocks/news/groww-shares-list-at-14-premium-over-ipo-price/articleshow/125264762.cms,"Wed, 12 Nov 2025 09:58:15 +0530","Groww, India's largest investment platform, debuted on Dalal Street with a 14% premium, listing at Rs 114 and Rs 112 on BSE and NSE respectively. The Rs 6,632-crore IPO saw strong subscription, particularly from institutional investors. Analysts view Groww as a proxy for India's expanding financialization trend, recommending it as a medium-to-long-term investment opportunity.",2025-11-12,Neutral,4.0952036215458065e-05,"[0.9999494552612305, 4.576765786623582e-05, 4.815620741283055e-06]"
Infosys TCS tumble up to 27 as IT meltdown drags Nifty vs global peers Wheres the heartbeat index headed,https://economictimes.indiatimes.com/markets/stocks/news/infosys-tcs-tumble-up-to-27-as-it-meltdown-drags-nifty-vs-global-peers-wheres-the-heartbeat-index-headed/articleshow/125264915.cms,"Wed, 12 Nov 2025 09:52:27 +0530","India's Nifty index shows modest one-year returns, lagging global peers. The IT sector, particularly Infosys and TCS, has dragged performance down. The next big sectoral laggard is power. Financials, however, have been strong performers, delivering significant returns. Analysts anticipate a constructive outlook for Nifty over the next year, expecting stability and selective recovery in key sectors.",2025-11-12,Negative,-0.9994979500770569,"[0.0004934252938255668, 4.331486252340255e-06, 0.9995023012161255]"
Earnings growth to accelerate from Q3 banks consumption amp defence among top bets VK Vijayakumar,https://economictimes.indiatimes.com/markets/expert-view/earnings-growth-to-accelerate-from-q3-banks-consumption-defence-among-top-bets-vk-vijayakumar/articleshow/125264822.cms,"Wed, 12 Nov 2025 09:51:26 +0530","India Inc’s earnings growth is set to accelerate sharply from Q3 FY26, led by banks, defence, and consumption sectors, says VK Vijayakumar, Chief Investment Strategist at Geojit. While FY26 growth is expected at 8–9%, FY27 could see double-digit expansion as domestic demand rises amid lower rates, tax cuts, and strong consumer spending.",2025-11-12,Positive,0.9999998807907104,"[5.8532997115889884e-08, 0.9999998807907104, 2.84329848554421e-09]"
Torrent Power shares in focus as Q2 PAT rises 50 YoY to Rs 742 crore,https://economictimes.indiatimes.com/markets/stocks/news/torrent-power-shares-in-focus-as-q2-pat-rises-50-yoy-to-rs-742-crore/articleshow/125264852.cms,"Wed, 12 Nov 2025 09:48:45 +0530","Torrent Power reported a significant 49.6% surge in profit after tax to Rs 742 crore for Q2 FY26, driven by a 9.8% revenue increase to Rs 7,876 crore. Improved merchant power sales and reduced finance costs bolstered performance. Despite higher depreciation, the company's strong quarterly results are expected to draw investor attention.",2025-11-12,Positive,0.9293978810310364,"[0.06967630237340927, 0.9298607707023621, 0.00046286717406474054]"
Infosys TCS and other IT stocks in focus as Trump signals softer stance on H1B visas,https://economictimes.indiatimes.com/markets/stocks/news/infosys-tcs-and-other-it-stocks-in-focus-as-trump-signals-softer-stance-on-h-1b-visas/articleshow/125264796.cms,"Wed, 12 Nov 2025 09:46:25 +0530","U.S. President Donald Trump acknowledged the country’s need for skilled foreign workers, even as his administration moved to tighten visa regulations impacting global tech firms. In a Fox News interview, Trump was questioned about the future of H-1B visas and whether his administration planned to deprioritize them, according to Bloomberg.",2025-11-12,Negative,-0.9999013543128967,"[9.684823453426361e-05, 8.65768186031346e-07, 0.9999022483825684]"
Thermax shares in focus Q2 net profit tumbles 40 to Rs 119 crore revenue down 5,https://economictimes.indiatimes.com/markets/stocks/news/thermax-shares-in-focus-q2-net-profit-tumbles-40-to-rs-119-crore-revenue-down-5/articleshow/125264746.cms,"Wed, 12 Nov 2025 09:41:48 +0530","Thermax shares: The energy and environment solutions firm delivered a weak Q2 performance, with revenue down 5% year-on-year to Rs 2,474 crore and PAT plunging 40% to Rs 119 crore. PBT fell 35% to Rs 174 crore. Last year’s quarter had been boosted by a one-time Rs 66 crore incentive from the Maharashtra government under the PSI 2007 scheme.",2025-11-12,Negative,-0.9999986290931702,"[2.5705546136123303e-07, 5.525558890440152e-07, 0.9999991655349731]"
Tata Motors is the worstperforming PV stock this year Is it also the most undervalued to buy,https://economictimes.indiatimes.com/markets/stocks/news/tata-motors-is-the-worst-performing-pv-stock-this-year-is-it-also-the-most-undervalued-to-buy/articleshow/125264707.cms,"Wed, 12 Nov 2025 09:39:44 +0530","Tata Motors has become the worst-performing passenger vehicle stock this year, sliding over 12% due to market share loss in EVs and struggles in its premium SUV portfolio. Despite global headwinds for JLR, analysts suggest the stock is undervalued, trading at a steep discount to peers, making it an attractive option for patient, long-term investors.",2025-11-12,Positive,0.44873371720314026,"[0.00038019908242858946, 0.7241767644882202, 0.27544304728507996]"
Sensex surges 600 pts Nifty above 25800 as US trade hopes lift mood,https://economictimes.indiatimes.com/markets/stocks/news/sensex-rises-350-pts-nifty-tops-25-750-as-u-s-trade-hopes-lift-mood/articleshow/125264535.cms,"Wed, 12 Nov 2025 09:35:40 +0530","Indian stocks surged on Wednesday, led by financials and IT, as optimism grew over a potential US trade deal and an end to the US government shutdown. The Sensex and Nifty both opened higher, reflecting boosted investor confidence in the market.",2025-11-12,Positive,1.0,"[1.592475662448578e-08, 1.0, 2.0809928003018285e-08]"
HFCL Premier Explosives stocks flash bullish signals indicating possible uptrend,https://economictimes.indiatimes.com/markets/stocks/news/hfcl-premier-explosives-stocks-flash-bullish-signals-indicating-possible-uptrend/slideshow/125264670.cms,"Wed, 12 Nov 2025 09:32:36 +0530","HFCL and Premier Explosives featured among stocks forming a bullish ‘White Marubozu’ pattern on November 11, signalling strong buying momentum and a potential uptrend.",2025-11-12,Positive,0.9999999403953552,"[5.7439395462211e-09, 1.0, 4.41330030298559e-08]"
Bajaj Finserv among 7 FampO stocks with a sharp rise in futures open interest,https://economictimes.indiatimes.com/markets/stocks/news/bajaj-finserv-among-7-fo-stocks-with-a-sharp-rise-in-futures-open-interest/slideshow/125264587.cms,"Wed, 12 Nov 2025 09:27:41 +0530","A significant uptick in futures open interest signifies a substantial growth in the number of active, unexpired futures contracts in a specific security. This uptrend reflects an increasing number of participants either initiating new positions or expanding the size of their existing positions within the futures market.",2025-11-12,Neutral,-0.0022183319088071585,"[0.9973094463348389, 0.000236137057072483, 0.0024544689804315567]"
Biocon shares in focus as company swings to Rs 84 crore profit in Q2,https://economictimes.indiatimes.com/markets/stocks/news/biocon-shares-in-focus-as-company-swings-to-rs-84-crore-profit-in-q2/articleshow/125264465.cms,"Wed, 12 Nov 2025 09:22:41 +0530","Biocon reported a strong turnaround in Q2FY26 with a net profit of Rs 84.5 crore against a loss of Rs 16 crore last year, driven by 21% YoY revenue growth to Rs 4,389 crore. Biosimilars led with 61% of revenue. The company also repaid key debts, aiming to boost margins and cut interest costs by FY27.",2025-11-12,Neutral,-0.014634804800152779,"[0.9852491021156311, 5.8045821788255125e-05, 0.014692850410938263]"
The Rs 15 lakh crore paradox Why FIIs are dumping stocks but chasing IPOs,https://economictimes.indiatimes.com/markets/stocks/news/the-rs-1-5-lakh-crore-paradox-why-fiis-are-dumping-stocks-but-chasing-ipos/articleshow/125264420.cms,"Wed, 12 Nov 2025 09:19:42 +0530","Foreign institutional investors are divesting from Indian secondary markets while actively investing in IPOs, a trend termed 'The great divergence'. This split is driven by different investor types and a pursuit of valuation arbitrage, with long-term investors favoring primary markets for strategic entry points.",2025-11-12,Neutral,-0.0007234708755277097,"[0.9992687106132507, 3.9109550016291905e-06, 0.0007273818482644856]"
Emmvee Photovoltaic Power IPO Day 2 Check GMP subscription status Should you apply,https://economictimes.indiatimes.com/markets/ipos/fpos/emmvee-photovoltaic-power-ipo-day-2-check-gmp-subscription-status-should-you-apply/articleshow/125264372.cms,"Wed, 12 Nov 2025 09:16:31 +0530","Emmvee Photovoltaic Power IPO: At a grey market premium (GMP) of Rs 5, or about 2.3% above the upper price band of Rs 217. This marks a decline from the earlier 9% premium, reflecting weaker investor sentiment toward the issue. At current levels, the stock is expected to list around Rs 222.",2025-11-12,Neutral,-6.147802923806012e-05,"[0.9999371767044067, 6.7102700995747e-07, 6.214905442902818e-05]"
Ather Energy among 7 stocks showing bullish RSI upswing,https://economictimes.indiatimes.com/markets/stocks/news/ather-energy-among-7-stocks-showing-bullish-rsi-upswing/slideshow/125264344.cms,"Wed, 12 Nov 2025 09:07:20 +0530","Ather Energy and six other Nifty500 stocks showed a bullish RSI upswing, indicating strengthening momentum and potential upward movement in prices.",2025-11-12,Positive,0.9875907897949219,"[0.011872418224811554, 0.9878591895103455, 0.00026839072233997285]"
RVNL shares drop 3 as PAT declines 20 YoY for Q2FY26,https://economictimes.indiatimes.com/markets/stocks/news/rvnl-shares-in-focus-as-pat-declines-20-yoy-for-q2fy26/articleshow/125264253.cms,"Wed, 12 Nov 2025 09:06:04 +0530","RVNL share price: Rail Vikas Nigam Ltd (RVNL) reported a 19.7% year-on-year decline in Q2FY26 profit after tax to Rs 230 crore, even as revenue rose 5.5% to Rs 5,123 crore. EBITDA fell 20% and margins narrowed, reflecting cost pressures amid moderate top-line growth.",2025-11-12,Negative,-0.9998900294303894,"[6.21899962425232e-05, 2.3879807486082427e-05, 0.9999139308929443]"
SoftBank tanks 10 after 58bn Nvidia stock sale,https://economictimes.indiatimes.com/markets/stocks/news/softbank-tanks-10-after-5-8-bn-nvidia-stock-sale/articleshow/125264185.cms,"Wed, 12 Nov 2025 09:00:46 +0530","SoftBank has sold its entire stake in chip giant Nvidia for $5.8 billion. This move aims to generate cash for significant artificial intelligence investments. These include the ambitious US megaproject Stargate. SoftBank is a key investor in OpenAI, the creator of ChatGPT. The company reported a substantial profit increase in its latest quarter.",2025-11-12,Neutral,-0.0010506437392905354,"[0.9988682270050049, 4.060491846757941e-05, 0.0010912487050518394]"
Tata Power shares in focus as Q2 net profit jumps 14 to Rs 1245 crore,https://economictimes.indiatimes.com/markets/stocks/news/tata-power-shares-in-focus-as-q2-net-profit-jumps-14-to-rs-1245-crore/articleshow/125264178.cms,"Wed, 12 Nov 2025 09:00:26 +0530","Tata Power share price: Tata Power reported a 14% year-on-year rise in Q2FY26 net profit to Rs 1,245 crore, supported by higher operational revenue and improved EBITDA. However, net debt increased to Rs 54,000 crore due to elevated capital expenditure as the company continued investing in growth and infrastructure expansion.",2025-11-12,Positive,0.9729117751121521,"[0.02655920386314392, 0.9731762409210205, 0.0002644907799549401]"
Profit booking and sideways markets hit equity flows but SIPs stay steady Suranjana Borthakur Mirae Asset,https://economictimes.indiatimes.com/markets/expert-view/profit-booking-and-sideways-markets-hit-equity-flows-but-sips-stay-steady-suranjana-borthakur-mirae-asset/articleshow/125248601.cms,"Wed, 12 Nov 2025 09:00:00 +0530","India’s mutual fund equity inflows fell 19% month-on-month, led by outflows in large-, mid-, and small-cap funds, said Suranjana Borthakur, Head of Distribution &amp; Strategic Alliances, Mirae Asset Investment Managers. However, SIP flows stayed strong above ₹29,500 crore, while investors shifted toward hybrid, passive, and gold funds amid market volatility, profit booking, and rising preference for diversified, stable investments.",2025-11-12,Neutral,-0.13440464437007904,"[0.8021490573883057, 0.031723152846097946, 0.16612780094146729]"
ETMarkets Smart Talk Markets in fair value zone time for singles not boundaries Manish Gunwani,https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-markets-in-fair-value-zone-time-for-singles-not-boundaries-manish-gunwani/articleshow/125243398.cms,"Wed, 12 Nov 2025 09:00:00 +0530",Markets are in a fair value zone with supportive macro conditions. Near-term returns are expected to be moderate due to upcoming IPOs. Investors should focus on steady opportunities. Precious metals require reasonable allocation. Indian interest rates are trending lower. Earnings are neither great nor weak. Global credit spreads and AI capex pose risks.,2025-11-12,Neutral,-1.7138561815954745e-05,"[0.9999821186065674, 3.5531181197256956e-07, 1.7493874111096375e-05]"
Tata Motors Commercial Vehicles shares to list today What should investors expect,https://economictimes.indiatimes.com/markets/stocks/news/tata-motors-commercial-vehicles-shares-to-list-today-what-should-investors-expect/articleshow/125264149.cms,"Wed, 12 Nov 2025 08:57:52 +0530","TMCV Share Price: Tata Motors Commercial Vehicles Ltd (TMLCV), the demerged CV arm of Tata Motors, made its debut on the BSE and NSE on Wednesday. The listing marks the first time investors can independently value India’s largest truck and bus maker. Shareholders received one TMLCV share for each Tata Motors share, implying a listing value of Rs 260–270.",2025-11-12,Neutral,-8.203786273952574e-05,"[0.999784529209137, 6.670017319265753e-05, 0.00014873803593218327]"
Bharat Forge shares in focus after subsidiary secures Rs 250 crore MoD contract,https://economictimes.indiatimes.com/markets/stocks/news/bharat-forge-shares-in-focus-after-subsidiary-secures-rs-2500-crore-mod-contract/articleshow/125264096.cms,"Wed, 12 Nov 2025 08:52:56 +0530",Bharat Forge share price:  Bharat Forge’s subsidiary Kalyani Strategic Systems Ltd (KSSL) has bagged a Rs 250 crore contract from the Ministry of Defence for supplying underwater systems to the Indian Navy. The deal marks a key milestone in Bharat Forge’s expanding defence manufacturing and unmanned marine systems portfolio.,2025-11-12,Neutral,-1.3971786756883375e-05,"[0.9999762773513794, 4.889973297395045e-06, 1.886175959953107e-05]"
Tata Motors Share Price Live Updates Tata Motors Price Decline Report,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/tata-motors-stock-price-today-live-12-nov-2025/liveblog/125263781.cms,"Wed, 12 Nov 2025 08:29:44 +0530",,2025-11-12,Neutral,-0.2134154886007309,"[0.786274790763855, 0.0001548576110508293, 0.21357034146785736]"
TCS Share Price Live Updates TCS stock on the rise as market sentiment improves,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/tcs-share-price-live-updates-12-nov-2025/liveblog/125263743.cms,"Wed, 12 Nov 2025 08:27:17 +0530",,2025-11-12,Positive,0.9991364479064941,"[0.0008506148587912321, 0.9991428852081299, 6.4494220168853644e-06]"
Maruti Suzuki Share Price Live Updates Maruti Suzukis Trading Update,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/maruti-suzuki-share-price-live-12-nov-2025/liveblog/125263722.cms,"Wed, 12 Nov 2025 08:26:04 +0530",,2025-11-12,Neutral,0.0008357884362339973,"[0.9991371035575867, 0.0008493223576806486, 1.35339114422095e-05]"
HUL Share Price Live Updates HULs Current Trading Status,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/hul-stock-price-today-live-12-nov-2025/liveblog/125263689.cms,"Wed, 12 Nov 2025 08:23:52 +0530",,2025-11-12,Neutral,-1.729428731778171e-06,"[0.9999945163726807, 1.8864936919271713e-06, 3.6159224237053422e-06]"
Infosys Share Price Live Updates Infosys Science Foundation Announces Infosys Prize 2025 Laureates,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/infosys-stock-price-today-live-12-nov-2025/liveblog/125263682.cms,"Wed, 12 Nov 2025 08:23:31 +0530",,2025-11-12,Neutral,3.143384674331173e-05,"[0.9999668598175049, 3.2251671655103564e-05, 8.178249686352501e-07]"
Adani Ports SEZ Share Price Live Updates Adani Ports SEZ Daily Price Update,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/adani-ports-sez-stock-price-today-live-12-nov-2025/liveblog/125263676.cms,"Wed, 12 Nov 2025 08:23:09 +0530",,2025-11-12,Neutral,-1.572831138219044e-06,"[0.9999977350234985, 3.43981696460105e-07, 1.916812834679149e-06]"
Tata Consumer Share Price Live Updates Tata Consumers Current Market Price,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/tata-consumer-share-price-today-live-12-nov-2025/liveblog/125263658.cms,"Wed, 12 Nov 2025 08:21:53 +0530",,2025-11-12,Neutral,-2.4949581529654097e-06,"[0.9999970197677612, 2.9268815637806256e-07, 2.787646280921763e-06]"
ITC Share Price Live Updates ITC  Records Small Price Increase,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/itc-share-price-live-12-nov-2025/liveblog/125263657.cms,"Wed, 12 Nov 2025 08:21:52 +0530",,2025-11-12,Positive,0.589185893535614,"[0.41060468554496765, 0.5892906188964844, 0.00010469783592270687]"
IndusInd Bank Share Price Live Updates IndusInd Banks Stock Price Movement,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/indusind-bank-share-price-today-live-updates-12-nov-2025/liveblog/125263646.cms,"Wed, 12 Nov 2025 08:21:16 +0530",,2025-11-12,Neutral,-4.18162881032913e-06,"[0.9999938011169434, 1.004436967377842e-06, 5.186065664020134e-06]"
Hindalco Share Price Live Updates Hindalcos Stock Update,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/hindalco-stock-price-livestock-price-today-live-updates-12-nov-2025/liveblog/125263645.cms,"Wed, 12 Nov 2025 08:21:13 +0530",,2025-11-12,Neutral,0.0001578502997290343,"[0.9998278617858887, 0.0001650126650929451, 7.162369911384303e-06]"
Bajaj Finserv Share Price Live Updates Bajaj Finserv Current Market Status,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/bajaj-finserv-share-price-live-updates-12-nov-2025/liveblog/125263639.cms,"Wed, 12 Nov 2025 08:20:53 +0530",,2025-11-12,Neutral,2.366617991356179e-05,"[0.9999544620513916, 3.4605614928295836e-05, 1.0939434105239343e-05]"
Britannia Share Price Live Updates Britannias Price Movement Today,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/britannia-share-price-live-12-nov-2025/liveblog/125263635.cms,"Wed, 12 Nov 2025 08:20:32 +0530",,2025-11-12,Neutral,-1.226629137818236e-06,"[0.9999985694885254, 8.906922488449709e-08, 1.315698341386451e-06]"
LTIMindtree Share Price Live Updates LTIMindtrees Stock Performance Snapshot,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/ltimindtree-stock-price-live-updates-12-nov-2025/liveblog/125263630.cms,"Wed, 12 Nov 2025 08:20:09 +0530",,2025-11-12,Neutral,0.0026430755387991667,"[0.9972398281097412, 0.0027016231324523687, 5.854770643054508e-05]"
HDFC Life Share Price Live Updates HDFC Lifes Price Movement Today,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/hdfc-life-share-price-live-12-nov-2025/liveblog/125263615.cms,"Wed, 12 Nov 2025 08:19:25 +0530",,2025-11-12,Neutral,-7.237891850309097e-07,"[0.9999984502792358, 4.1002331840900297e-07, 1.1338124750182033e-06]"
Bajaj Finance Share Price Live Updates NBFC sector outlook positive Bajaj Finance correction not a concern Daljeet Kohli,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/bajaj-finance-stock-price-today-live-12-nov-2025/liveblog/125263603.cms,"Wed, 12 Nov 2025 08:18:34 +0530",,2025-11-12,Positive,0.9999998807907104,"[6.797539953140586e-08, 0.9999998807907104, 1.5375771766912294e-08]"
Dr Reddys Share Price Live Updates Dr Reddys stock price climbs today,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/dr-reddys-stock-price-livestock-price-today-live-updates-12-nov-2025/liveblog/125263594.cms,"Wed, 12 Nov 2025 08:18:13 +0530",,2025-11-12,Neutral,0.0047497195191681385,"[0.9951221346855164, 0.004813812673091888, 6.40929356450215e-05]"
